TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,PTS_RANK
1610612740,New Orleans,Pelicans,2019,72,30,42,0.417,13,5,0,0,N/A,3065,6598,0.465,982,2656,0.37,1229,1687,0.729,8341,6
1610612740,New Orleans,Pelicans,2020,72,31,41,0.431,11,4,0,0,N/A,3060,6412,0.477,762,2190,0.348,1369,1878,0.729,8251,9
1610612740,New Orleans,Pelicans,2021,82,36,46,0.439,8,3,2,4,N/A,3294,7212,0.457,873,2629,0.332,1501,1903,0.789,8962,21
1610612741,Chicago,Bulls,2000,82,15,67,0.183,15,8,0,0,N/A,2721,6411,0.424,329,950,0.346,1410,1909,0.739,7181,29
1610612741,Chicago,Bulls,2001,82,21,61,0.256,15,8,0,0,N/A,2811,6491,0.433,300,868,0.346,1413,1958,0.722,7335,28
1610612741,Chicago,Bulls,2002,82,30,52,0.366,12,6,0,0,N/A,2991,6714,0.445,349,997,0.35,1455,2014,0.722,7786,16
1610612741,Chicago,Bulls,2003,82,23,59,0.28,14,8,0,0,N/A,2798,6753,0.414,429,1256,0.342,1330,1834,0.725,7355,26
1610612741,Chicago,Bulls,2004,82,47,35,0.573,3,2,2,4,N/A,2849,6592,0.432,511,1433,0.357,1536,2048,0.75,7745,21
1610612741,Chicago,Bulls,2005,82,41,41,0.5,7,4,2,4,N/A,3004,6737,0.446,560,1477,0.379,1452,1967,0.738,8020,13
1610612741,Chicago,Bulls,2006,82,49,33,0.598,5,3,6,4,N/A,3046,6663,0.457,480,1237,0.388,1528,2083,0.734,8100,13
1610612741,Chicago,Bulls,2007,82,33,49,0.402,11,4,0,0,N/A,2987,6861,0.435,474,1305,0.363,1533,2029,0.756,7981,18
1610612741,Chicago,Bulls,2008,82,41,41,0.5,7,2,3,4,N/A,3126,6846,0.457,493,1293,0.381,1633,2052,0.796,8378,8
